CODE,LABEL,YEAR,0-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and over,Total,Working Age Population (15-64 years),Males,Females,Persons,Births,Total Fertility Rate (per female),Deaths,"Standardised Death Rate (per 1,000 population)",Population density,Proportion of total population,"Born in Oceania, Antarctica (exc. Australia)",Born in North-West Europe,Born in Southern & Eastern Europe,"Born in North Africa, Middle East",Born in South-East Asia,Born in North-East Asia,"Born in Southern, Central Asia",Born in Americas,Born in Sub-Saharan Africa,Total Born Overseas,Buddhism ,Christianity ,Hinduism ,Islam,Judaism ,Other Religions ,"Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation",Inadequately described or not stated ,Australian citizen,Not an Australian citizen,Australian Citizenship - Not stated,Proportion of total population
10750,Blacktown (C),2013,23.1,14.3,15.9,14.9,12.6,9.8,5.8,2.7,0.9,"324,797",67.4,32.4,33.5,32.9,"5,568",2.2,"1,459",6.3,1353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10750,Blacktown (C),2014,23.1,14.2,15.9,14.9,12.4,9.8,5.9,2.8,1,"331,825",67.3,32.5,33.6,33.1,"5,079",2.1,"1,519",6.1,1382.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10750,Blacktown (C),2015,23,14.1,16,15,12.3,9.8,6.1,2.7,1,"339,449",67.1,32.6,33.7,33.2,"5,613",2.1,"1,578",6,1414.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10750,Blacktown (C),2016,22.9,14,16,15.1,12.2,9.8,6.3,2.8,1,"348,030",67.1,32.8,33.8,33.3,"5,503",2,"1,592",6,1449.8,2.8,5.6,2.8,3,3.7,8.3,2.2,12.2,1,1.5,40.4,1.7,56.3,8.5,6.7,-,3.8,15.2,7.6,80.7,13.5,5.8,41
10750,Blacktown (C),2017,22.8,13.8,16.1,15.1,12.1,9.8,6.4,2.8,1,"357,479",67,33,34,33.5,-,-,"1,669",5.9,1489.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10800,Bland (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0.9,2.1,0.2,-,0.2,0.3,-,0.2,0.2,4,-,-,-,-,-,-,-,-,94.8,1.5,3.7,1.2
10800,Bland (A),2012,22,10,10.2,11.9,13.8,12.8,9.8,6.9,2.6,"6,034",58.6,41.3,41.6,41.5,71,2.7,50,5.5,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10800,Bland (A),2013,22,10.2,10,11.9,13.3,12.9,10,7.1,2.8,"6,028",58.2,41.5,41.6,41.5,70,2.6,50,5.4,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10800,Bland (A),2014,21.8,10.5,10,11.5,12.9,13,10.2,6.9,3.1,"6,034",57.9,41.6,41.5,41.5,69,2.3,48,5.2,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10800,Bland (A),2015,21.6,10.5,10.1,11.4,12.5,13.6,10.2,7,3.2,"6,027",58,41.8,41.8,41.8,82,2.5,52,5.2,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
